,city,college,heightFt,heightIn,location,player,position,rank,rate,school,score,state,weight,year
127116,Hamilton,Bowling Green,6,2,"Hamilton, OH, united states of america",Darius Gilbert,SDE,1825,3,Hamilton,0.8111,OH,250,2010
127117,Honolulu,Hawaii,6,2,"Honolulu, HI, united states of america",Ipulasi Eselu,WDE,1826,3,Moanalua,0.8111,HI,205,2010
127118,Passaic,Colorado,5,10,"Passaic, NJ, united states of america",Terrel Smith,CB,1827,3,Passaic,0.8111,NJ,185,2010
127119,Saint Petersburg,Western Michigan,6,4,"Saint Petersburg, FL, united states of america",Peter Terrana,TE,1828,3,Northeast,0.8111,FL,220,2010
127120,Passaic,Rutgers,6,5,"Passaic, NJ, united states of america",Jorge Vicioso,OT,1829,3,Passaic,0.8111,NJ,290,2010
127121,Stone Mountain,Marshall,6,4,"Stone Mountain, GA, united states of america",Malcolm Strong,SDE,1830,3,Stephenson,0.8111,GA,230,2010
127122,Americus,Georgia Tech,5,8,"Americus, GA, united states of america",Tony Zenon,RB,1831,3,Deerfield-Windsor School,0.8111,GA,174,2010
127123,Hyattsville,Akron,6,0,"Hyattsville, MD, united states of america",Austin Bailey,FB,1832,3,DeMatha Catholic,0.8111,MD,238,2010
127124,Topeka,Brigham Young,6,3,"Topeka, KS, united states of america",Travis Tuiloma,DT,1833,3,Washburn Rural,0.8111,KS,290,2010
127125,Calhoun,UAB,6,0,"Calhoun, GA, united states of america",Kedron Aker,ILB,1834,3,Calhoun,0.8111,GA,198,2010
127126,Hollywood,Cincinnati,5,10,"Hollywood, FL, united states of america",Demitri Beal,CB,1835,3,Chaminade-Madonna Prep,0.8111,FL,170,2010
127127,Traverse City,Northern Illinois,6,3,"Traverse City, MI, united states of america",Blake Goodell,OC,1836,3,Traverse City West,0.8111,MI,265,2010
127128,Fort Lauderdale,Buffalo,5,10,"Fort Lauderdale, FL, united states of america",Dwellie Striggles,CB,1837,3,University School,0.8111,FL,170,2010
127129,Clinton Township,Western Michigan,6,0,"Clinton Township, MI, united states of america",Michael Johnson,WR,1838,3,Clintondale,0.8111,MI,203,2010
127130,Covina,Washington State,6,0,"Covina, CA, united states of america",Brandon Golden,ATH,1839,3,Charter Oak,0.8111,CA,192,2010
127131,Los Angeles,UNLV,6,1,"Los Angeles, CA, united states of america",Tajh Hasson,ATH,1840,3,Cathedral,0.8111,CA,180,2010
127132,Haines City,Western Kentucky,5,10,"Haines City, FL, united states of america",Tyree Robinson,CB,1841,3,Haines City Senior,0.8111,FL,185,2010
127133,Novi,Central Michigan,6,4,"Novi, MI, united states of america",Michael Kinville,ILB,1842,3,Catholic Central,0.8111,MI,220,2010
127134,Visalia,Nevada,6,4,"Visalia, CA, united states of america",Taylor George,SDE,1843,3,Redwood,0.8111,CA,245,2010
127135,League City,Tulane,6,0,"League City, TX, united states of america",Brent Comardelle,WR,1844,3,Clear Creek,0.8111,TX,180,2010
127136,Lowell,Michigan State,6,4,"Lowell, MI, united states of america",Connor Kruse,OG,1845,3,Lowell,0.8111,MI,300,2010
127137,Thomasville,USF,6,2,"Thomasville, GA, united states of america",Reshard Cliett,S,1846,3,Thomas County Central,0.8111,GA,200,2010
127138,Livonia,Bowling Green,5,11,"Livonia, MI, united states of america",Marcus Beaurem,WR,1847,3,Stevenson,0.8111,MI,175,2010
127139,Redlands,San Jose State,,,"Redlands, CA, united states of america",David Peterson,OT,1847,3,Redlands East Valley,0.8111,CA,-,2010
127140,Newark,Toledo,6,4,"Newark, OH, united states of america",Josh Hendershot,OG,1849,3,Newark Catholic,0.8111,OH,275,2010
127141,Inglewood,San Jose State,,,"Inglewood, CA, united states of america",Marcus Howard,SDE,1850,3,Inglewood,0.8111,CA,-,2010
127142,Prattville,Arkansas State,5,8,"Prattville, AL, united states of america",Earl Lucas,WR,1851,3,Prattville,0.8111,AL,150,2010
127143,Lewisville,Duke,6,5,"Lewisville, NC, united states of america",Nick Sink,TE,1852,3,Forsyth Country Day School,0.8111,NC,250,2010
127144,New Britain,Connecticut,6,0,"New Britain, CT, united states of america",Tebucky Jones,WR,1853,3,New Britain,0.8111,CT,180,2010
127845,Arlington,Brigham Young,6,2,"Arlington, TX, united states of america",Teu Kautai,OLB,1854,3,The Oakridge School,0.8111,TX,200,2010
127846,Kenmore,Wyoming,6,4,"Kenmore, WA, united states of america",Travis Bogard,OC,1855,3,Inglemoor,0.8111,WA,275,2010
127847,Los Angeles,San Diego State,6,1,"Los Angeles, CA, united states of america",Ezell Ruffin,WR,1856,3,Woodrow Wilson Senior,0.8111,CA,190,2010
127848,Port Coquitlam,Nevada,6,2,"Port Coquitlam, BC, united states of america",Lemar Durant,WR,1857,3,Terry Fox,0.8111,BC,210,2010
127849,Bristol,Connecticut,6,1,"Bristol, CT, united states of america",Byron Jones,S,1858,3,St Paul Catholic,0.8111,CT,175,2010
127850,Mansfield,Indiana,6,0,"Mansfield, OH, united states of america",Shaquille Jefferson,S,1859,3,Lexington,0.8111,OH,180,2010
127851,Saint Augustine,Army,5,9,"Saint Augustine, FL, united states of america",Scott Jones,RB,1860,3,St Joseph Academy,0.8111,FL,185,2010
127852,Saint Petersburg,Western Kentucky,6,1,"Saint Petersburg, FL, united states of america",Bar'ee Boyd,OLB,1861,3,Lakewood,0.8111,FL,210,2010
127853,Marianna,Troy,6,0,"Marianna, FL, united states of america",Fidel Montgomery,CB,1862,3,Marianna,0.8111,FL,183,2010
127854,Sugar Land,Texas Tech,6,3,"Sugar Land, TX, united states of america",Mike Jones,DT,1863,3,Kempner,0.8111,TX,255,2010
127855,Reynoldsburg,Bowling Green,5,11,"Reynoldsburg, OH, united states of america",Devon McKoy,S,1864,3,Reynoldsburg,0.8111,OH,180,2010
127856,Boise,Boise State,6,3,"Boise, ID, united states of america",Kyle Sosnowski,S,1865,3,Capital,0.8111,ID,203,2010
127857,Warren,Bowling Green,6,4,"Warren, MI, united states of america",Cody Silk,OG,1866,3,De La Salle Collegiate,0.8111,MI,275,2010
127858,Miami,Texas Tech,6,1,"Miami, FL, united states of america",LaVaughn Whigham,WR,1867,3,Miami Southridge,0.8111,FL,180,2010
127859,Palmetto,Western Kentucky,6,2,"Palmetto, FL, united states of america",Ty Scott,S,1868,3,Palmetto,0.8111,FL,200,2010
127860,Nashville,Vanderbilt,6,3,"Nashville, TN, united states of america",Fitz Lassing,OLB,1869,3,Montgomery Bell Academy,0.8111,TN,225,2010
127861,Spring,Miami (OH),5,8,"Spring, TX, united states of america",Trey Payne,CB,1870,3,Klein Oak,0.8111,TX,153,2010
127862,Chicago,Ball State,6,1,"Chicago, IL, united states of america",Nathan Ollie,DT,1871,3,Mount Carmel,0.8111,IL,290,2010
127863,Eagle,Arizona State,6,3,"Eagle, ID, united states of america",Taylor Kelly,DUAL,1872,3,Eagle,0.8111,ID,185,2010
127864,Mesquite,UTEP,6,0,"Mesquite, TX, united states of america",Devin Patterson,WR,1873,3,North Mesquite,0.8111,TX,180,2010
127865,Columbus,Eastern Michigan,6,1,"Columbus, OH, united states of america",Marcus Penn,S,1874,3,Whetstone,0.8111,OH,193,2010
127866,Grand Blanc,Bowling Green,6,2,"Grand Blanc, MI, united states of america",Gabe Martin,OLB,1875,3,Grand Blanc Community,0.8111,MI,210,2010
127867,Longview,Houston,6,1,"Longview, TX, united states of america",Jeremiah Farley,DT,1876,3,Longview,0.8111,TX,264,2010
127868,Worcester,Buffalo,6,5,"Worcester, MA, united states of america",Jeff Veinotte,OT,1877,3,St Peter-marian Catholic Jr-sr,0.8111,MA,305,2010
127869,Humble,Louisiana Tech,6,2,"Humble, TX, united states of america",Michael Schrang,S,1878,3,Kingwood,0.8111,TX,190,2010
127870,Fort Worth,UAB,6,2,"Fort Worth, TX, united states of america",Darnell Williams,WR,1879,3,Trinity Valley School,0.8111,TX,200,2010
127871,Hollywood,Syracuse,6,1,"Hollywood, FL, united states of america",Keondrick Lyn,S,1880,3,Miramar,0.8111,FL,172,2010
127872,Dothan,Troy,6,3,"Dothan, AL, united states of america",B.J. Chitty,WR,1881,3,Northview,0.8102,AL,177,2010
127873,Lemont,Western Michigan,6,2,"Lemont, IL, united states of america",Pat Driscoll,DT,1882,3,Lemont,0.8101,IL,289,2010
127874,Owings Mills,Buffalo,6,1,"Owings Mills, MD, united states of america",Rudy Johnson,DUAL,1883,3,McDonogh School,0.8101,MD,195,2010
127875,High Point,Duke,6,0,"High Point, NC, united states of america",Quantrez Stevenson,ATH,1884,3,T Wingate Andrews,0.8093,NC,194,2010
127876,Portal,N.C. State,6,3,"Portal, GA, united states of america",Theodore Rich,WDE,1885,3,Portal,0.8093,GA,225,2010
127877,Riverside,Arizona State,6,4,"Riverside, CA, united states of america",Calvin Tonga,DT,1886,3,Arlington,0.8091,CA,320,2010
127878,Cave City,Arkansas State,6,5,"Cave City, AR, united states of america",Alan Wright,OG,1887,3,Cave City,0.8087,AR,285,2010
127879,Houston,Miami (OH),5,10,"Houston, TX, united states of america",Tracy Woods,RB,1888,3,North Shore,0.8087,TX,208,2010
127880,Fort Lauderdale,Colorado State,6,3,"Fort Lauderdale, FL, united states of america",Alex Tucci,OG,1889,3,Cypress Bay,0.8087,FL,295,2010
127881,Racine,Washington State,6,2,"Racine, WI, united states of america",Eric Oertel,ATH,1890,3,Lutheran,0.8087,WI,195,2010
127882,Aurora,Wyoming,5,10,"Aurora, CO, united states of america",C.J. Morgan,WR,1891,3,Eaglecrest,0.8083,CO,175,2010
127883,Auburn,Southern Miss,6,4,"Auburn, AL, united states of america",Taylor Peterson,OG,1892,3,Auburn,0.8083,AL,295,2010
127884,Atlanta,Eastern Michigan,6,0,"Atlanta, GA, united states of america",Desdan Hester,ILB,1893,3,McNair,0.8083,GA,160,2010
127885,Independence,Ball State,6,4,"Independence, KY, united states of america",Jordan Hansel,OG,1894,3,Simon Kenton,0.8083,KY,300,2010
127886,Lake City,USF,6,3,"Lake City, FL, united states of america",Jamaal Montague,WR,1895,3,Columbia,0.8083,FL,190,2010
127887,Encino,Nevada,6,4,"Encino, CA, united states of america",Mike Mitchell,OG,1896,3,Crespi,0.8083,CA,275,2010
127888,Cincinnati,Connecticut,6,3,"Cincinnati, OH, united states of america",Angelo Pruitt,DT,1897,3,North College Hill Jr/sr,0.8083,OH,270,2010
127889,Cincinnati,Cincinnati,6,2,"Cincinnati, OH, united states of america",John Lloyd,K,1898,3,Cincinnati Hills Christian Academy,0.8083,OH,225,2010
127890,Conroe,UTEP,6,2,"Conroe, TX, united states of america",Kyle Brown,DT,1899,3,Conroe,0.8083,TX,265,2010
127891,Murrysville,Syracuse,6,6,"Murrysville, PA, united states of america",Sean Hickey,OT,1900,3,Franklin Regional,0.8083,PA,280,2010
127892,Lancaster,Central Michigan,6,3,"Lancaster, PA, united states of america",Kyle Smith,PRO,1901,3,Lancaster Catholic,0.8083,PA,183,2010
127893,Gulfport,Arkansas State,6,2,"Gulfport, MS, united states of america",Aerion Williams,DUAL,1902,3,Harrison Central,0.8083,MS,195,2010
127894,Wylie,Louisiana Tech,6,2,"Wylie, TX, united states of america",Noah Cheshier,TE,1903,3,Wylie,0.8083,TX,262,2010
128595,Saint Louis,Central Michigan,6,2,"Saint Louis, MO, united states of america",Kenneth McClendon,WDE,1904,3,DeSmet,0.8083,MO,223,2010
128596,DeSoto,UTEP,6,5,"DeSoto, TX, united states of america",Brandon Forge,SDE,1905,3,DeSoto,0.8083,TX,240,2010
128597,Dallas,Louisiana-Lafayette,5,10,"Dallas, TX, united states of america",Aaron Spikes,RB,1906,3,Pinkston,0.8081,TX,185,2010
128598,Spartanburg,Michigan,6,2,"Spartanburg, SC, united states of america",Conelius Jones,ATH,1907,3,Spartanburg,0.8081,SC,197,2010
128599,Suwanee,Tulane,6,0,"Suwanee, GA, united states of america",Zachary Davis,OLB,1908,3,Collins Hill,0.8072,GA,200,2010
128600,Kissimmee,Colorado State,5,11,"Kissimmee, FL, united states of america",Shaquille Bell,CB,1909,3,Osceola,0.8072,FL,177,2010
128601,Bronx,Syracuse,6,0,"Bronx, NY, united states of america",Jeramiah Kobena,RB,1910,3,Cardinal Hayes,0.8072,NY,180,2010
128602,Sarasota,Ohio,6,3,"Sarasota, FL, united states of america",Mark Smith,OG,1911,3,Cardinal Mooney,0.8069,FL,270,2010
128603,La Mesa,San Jose State,,,"La Mesa, CA, united states of america",Sean Linton,WR,1912,3,Helix,0.8069,CA,-,2010
128604,Plano,Vanderbilt,6,5,"Plano, TX, united states of america",Chase White,OG,1913,3,Plano West,0.8069,TX,260,2010
128605,Barberton,Ohio,6,1,"Barberton, OH, united states of america",Kyle Snyder,DUAL,1914,3,Barberton,0.8069,OH,207,2010
128606,Cincinnati,Western Michigan,6,6,"Cincinnati, OH, united states of america",Ali Kassem,OT,1915,3,Archbishop Moeller,0.8069,OH,330,2010
128607,Hollywood,Syracuse,6,1,"Hollywood, FL, united states of america",Keon Lyn,CB,1916,3,Miramar,0.8069,FL,195,2010
128608,Los Angeles,Nevada,6,2,"Los Angeles, CA, united states of america",Jordan Hanson,DT,1917,3,Loyola,0.8069,CA,265,2010
128609,Dayton,Eastern Michigan,6,4,"Dayton, OH, united states of america",Jordan Erbes,OG,1918,3,Kettering Fairmont,0.8069,OH,270,2010
128610,Xenia,Ball State,6,5,"Xenia, OH, united states of america",Dakota Anderson,OG,1919,3,Xenia,0.8069,OH,250,2010
128611,Dublin,Toledo,6,3,"Dublin, OH, united states of america",Grant Pleasant,WDE,1920,3,Dublin Scioto,0.8069,OH,230,2010
128612,Myrtle Beach,Marshall,6,4,"Myrtle Beach, SC, united states of america",James Power,TE,1921,3,Myrtle Beach,0.8069,SC,225,2010
128613,Issaquah,Wyoming,6,6,"Issaquah, WA, united states of america",Daniel Fleischman,OT,1922,3,Issaquah,0.8056,WA,290,2010
128614,Monessen,Akron,6,0,"Monessen, PA, united states of america",ShelDon Miller,S,1923,3,Monessen,0.8052,PA,195,2010
128615,Sandy,Utah State,6,3,"Sandy, UT, united states of america",Alex Hart,DUAL,1924,3,Jordan,0.8052,UT,175,2010
128616,Mayo,Florida Atlantic,,,"Mayo, FL, united states of america",Nick Bracewell,PRO,1925,3,Lafayette,0.8052,FL,-,2010
128617,Norristown,Temple,5,9,"Norristown, PA, united states of america",Anthony Robey,CB,1926,3,Norristown Area,0.8052,PA,172,2010
128618,Surprise,UTEP,6,6,"Surprise, AZ, united states of america",Devin Dashnaw,OT,1927,3,Willow Canyon,0.8052,AZ,340,2010
128619,Pelham,Navy,5,7,"Pelham, AL, united states of america",Ryan Williams,ATH,1928,3,Pelham,0.8052,AL,166,2010
128620,Cleveland,Akron,6,1,"Cleveland, OH, united states of america",Zach D'Orazio,PRO,1929,3,Cuyahoga Heights,0.8052,OH,185,2010
128621,Hannibal,Northern Illinois,5,11,"Hannibal, MO, united states of america",Mat Sims,K,1930,3,Hannibal,0.8052,MO,180,2010
128622,Fitzgerald,Vanderbilt,5,10,"Fitzgerald, GA, united states of america",Trent Pruitt,WR,1931,3,Fitzgerald,0.8051,GA,175,2010
128623,Fort Thomas,Miami (OH),6,5,"Fort Thomas, KY, united states of america",Tyler Grubbs,OT,1932,3,Highlands,0.8038,KY,286,2010
128624,San Jose,San Jose State,,,"San Jose, CA, united states of america",Derek Muaava,ATH,1933,3,Independence,0.8038,CA,-,2010
128625,Boiling Springs,South Carolina,6,2,"Boiling Springs, SC, united states of america",Dylan Thompson,PRO,1934,3,Boiling Springs Hi,0.8037,SC,206,2010
128626,Fort Walton Beach,Troy,6,2,"Fort Walton Beach, FL, united states of america",Luke Barnes,PRO,1935,3,Fort Walton Beach,0.8030,FL,195,2010
128627,Whitehall,Temple,6,2,"Whitehall, PA, united states of america",Taray Carey,WDE,1936,3,Whitehall,0.8030,PA,210,2010
128628,Atlanta,Georgia Tech,5,10,"Atlanta, GA, united states of america",Justin Moore,K,1937,3,Marist School,0.8021,GA,160,2010
128629,Franklin Lakes,Syracuse,5,9,"Franklin Lakes, NJ, united states of america",Ross Krautman,K,1938,3,Ramapo,0.8021,NJ,180,2010
128630,Rockford,Northern Illinois,5,11,"Rockford, IL, united states of america",Tyler Anderson,K,1939,3,Guilford,0.8021,IL,186,2010
128631,Saint Augustine,Tulane,5,8,"Saint Augustine, FL, united states of america",Cairo Santos,K,1940,3,St Joseph Academy,0.8021,FL,156,2010
128632,East Stroudsburg,Rutgers,6,0,"East Stroudsburg, PA, united states of america",Sam Bergen,ILB,1941,3,South,0.8021,PA,215,2010
128633,Rockford,Central Michigan,5,10,"Rockford, MI, united states of america",Paul Mudgett,K,1942,3,Rockford,0.8021,MI,175,2010
128634,Cincinnati,Cincinnati,6,2,"Cincinnati, OH, united states of america",Tony Miliano,K,1943,3,Elder,0.8021,OH,190,2010
128635,Long Beach,Arizona State,5,11,"Long Beach, CA, united states of america",Alden Darby,CB,1944,3,Millikan Senior,0.8021,CA,170,2010
128636,Pittsburgh,Kent State,6,1,"Pittsburgh, PA, united states of america",Rich Gray,SDE,1945,3,Woodland Hills,0.8021,PA,252,2010
128637,Lancaster,Ohio,5,10,"Lancaster, OH, united states of america",Nathan Carpenter,S,1946,3,Lancaster,0.8021,OH,198,2010
128638,Ocala,USF,6,3,"Ocala, FL, united states of america",Chris Veron,K,1947,3,Forest,0.8021,FL,210,2010
128639,Harrison,Buffalo,6,2,"Harrison, NY, united states of america",Jack Molloy,K,1948,3,Harrison,0.8021,NY,200,2010
128640,Gainesville,Auburn,6,2,"Gainesville, GA, united states of america",Josh Jackson,DT,1949,3,Gainesville,0.8019,GA,260,2010
128641,Lynchburg,Virginia,6,3,"Lynchburg, VA, united states of america",Mike Rocco,PRO,1950,3,Liberty Christian Academy,0.8019,VA,205,2010
128642,Chesapeake,Illinois,6,4,"Chesapeake, VA, united states of america",A.J. Williams,TE,1951,3,Atlantic Shores Christian School,0.8009,VA,194,2010
128643,Brooklyn,Syracuse,5,8,"Brooklyn, NY, united states of america",Steven Rene,APB,1952,3,Canarsie,0.8009,NY,173,2010
128644,Mckeesport,Connecticut,6,1,"Mckeesport, PA, united states of america",Ty-Meer Brown,CB,1953,3,McKeesport,0.8007,PA,180,2010
129345,Pemberville,Bowling Green,6,6,"Pemberville, OH, united states of america",Clay Rolf,TE,1954,3,Eastwood I,0.8007,OH,250,2010
129346,Jacksonville,South Carolina,5,11,"Jacksonville, FL, united states of america",Javon Bell,WR,1955,3,Jean Ribault,0.8000,FL,170,2010
129347,Birmingham,Alabama,6,3,"Birmingham, AL, united states of america",Wilson Love,DT,1956,3,Mt Brook Sch,0.8000,AL,276,2010
129348,Dayton,Bowling Green,6,5,"Dayton, OH, united states of america",Darion Delany,DT,1957,3,Trotwood-Madison,0.8000,OH,275,2010
129349,Flushing,Virginia,6,1,"Flushing, NY, united states of america",Christopher Brathwaite,WDE,1958,3,Holy Cross,0.8000,NY,250,2010
129350,Princeton,Minnesota,6,6,"Princeton, NJ, united states of america",Sean Ferguson,DT,1959,3,Hun School,0.8000,NJ,303,2010
129351,Jesup,Kentucky,6,4,"Jesup, GA, united states of america",Alvin Davis,WDE,1960,3,Wayne County,0.8000,GA,228,2010
129352,Katy,Baylor,6,3,"Katy, TX, united states of america",Tyrell Jenkins,DUAL,1961,3,Katy,0.8000,TX,180,2010
129353,Tallahassee,East Carolina,6,4,"Tallahassee, FL, united states of america",Mack Helms,OT,1962,3,Tallahassee Leon,0.8000,FL,275,2010
129354,Temecula,Hawaii,,,"Temecula, CA, united states of america",Christian Poueu-Luna,WR,1963,3,Great Oak,0.8000,CA,-,2010
129355,Flushing,Virginia,6,1,"Flushing, NY, united states of america",Chris Brathwaite,OLB,1964,3,Holy Cross,0.8000,NY,250,2010
129356,Virginia Beach,Marshall,6,1,"Virginia Beach, VA, united states of america",Zach Dunston,ATH,1965,3,Green Run,0.8000,VA,188,2010
129357,Rockford,Georgia Tech,6,0,"Rockford, AL, united states of america",Deon Hill,RB,1966,3,Central Sch,0.8000,AL,195,2010
129358,San Jose,San Jose State,,,"San Jose, CA, united states of america",Jabari Carr,WR,1967,3,Oak Grove,0.8000,CA,-,2010
129359,Union City,Washington State,6,3,"Union City, CA, united states of america",Kalafitoni Pole,SDE,1968,3,James Logan,0.8000,CA,275,2010
129360,Hialeah,Western Michigan,6,3,"Hialeah, FL, united states of america",Manny Diaz,WDE,1969,3,Hialeah-Miami Lakes,0.7990,FL,215,2010
129361,Arvada,Colorado State,6,5,"Arvada, CO, united states of america",Christian Stefo,OT,1970,3,Pomona,0.7990,CO,315,2010
129362,Attica,Buffalo,6,0,"Attica, NY, united states of america",Adam Redden,WR,1971,3,St. Francis,0.7990,NY,185,2010
129363,Bay Saint Louis,Mississippi State,5,10,"Bay Saint Louis, MS, united states of america",Dylan Favre,DUAL,1972,3,St Stanislaus,0.7990,MS,180,2010
129364,Honolulu,Hawaii,6,2,"Honolulu, HI, united states of america",Moses Samia,SDE,1973,3,St Louis School,0.7990,HI,250,2010
129365,East Orange,Akron,6,2,"East Orange, NJ, united states of america",Tamir Turpin,FB,1974,3,East Orange Campus,0.7990,NJ,215,2010
129366,Loganville,Brigham Young,5,10,"Loganville, GA, united states of america",Kori Gaines,S,1975,3,Grayson,0.7990,GA,174,2010
129367,Prattville,Troy,5,6,"Prattville, AL, united states of america",Corey Shelton,WR,1976,3,Prattville,0.7986,AL,150,2010
129368,Columbus,Bowling Green,5,10,"Columbus, OH, united states of america",Jude Adjei-Barimah,CB,1977,3,Northland,0.7976,OH,180,2010
129369,Washington,East Carolina,6,3,"Washington, DC, united states of america",Chrishon Rose,DT,1978,3,Bishop McNamara,0.7972,DC,259,2010
129370,Mechanicsville,Ohio,6,0,"Mechanicsville, VA, united states of america",Blake Jones,ILB,1979,3,Hanover,0.7972,VA,204,2010
129371,Greenwood,Ball State,6,5,"Greenwood, IN, united states of america",Garrett Mack,TE,1980,2,Center Grove,0.7958,IN,215,2010
129372,Katy,Rice,6,3,"Katy, TX, united states of america",Nico Carlson,DT,1981,2,Taylor,0.7958,TX,270,2010
129373,Kailua,Hawaii,5,8,"Kailua, HI, united states of america",Corey Lau,WR,1982,2,Kailua,0.7958,HI,140,2010
129374,Kearney,Northern Illinois,6,1,"Kearney, MO, united states of america",Joe Windsor,WDE,1983,2,Kearney,0.7958,MO,225,2010
129375,Kenton,Kent State,6,4,"Kenton, OH, united states of america",Mark Fackler,ILB,1984,2,Kenton,0.7947,OH,235,2010
129376,Cullman,Troy,,,"Cullman, AL, united states of america",J.R. Robertson,DT,1985,2,Cullman Sch,0.7946,AL,-,2010
129377,Valdosta,Troy,5,7,"Valdosta, GA, united states of america",Khary Franklin,WR,1986,2,Lowndes,0.7944,GA,165,2010
129378,Reynoldsburg,Kent State,5,10,"Reynoldsburg, OH, united states of america",Roosevelt Nix-Jones,DT,1987,2,Reynoldsburg,0.7944,OH,237,2010
129379,West Des Moines,Iowa State,6,4,"West Des Moines, IA, united states of america",Kirby Van Der Kamp,K,1988,2,Valley,0.7944,IA,180,2010
129380,Port Allen,Tulane,5,11,"Port Allen, LA, united states of america",L.J. Parker,CB,1989,2,Port Allen,0.7944,LA,184,2010
129381,Dayton,Bowling Green,6,5,"Dayton, OH, united states of america",Darion Delaney,WDE,1990,2,Trotwood-Madison,0.7944,OH,260,2010
129382,Upper Marlboro,Temple,6,0,"Upper Marlboro, MD, united states of america",Brian Burns,CB,1991,2,Riverdale Baptist,0.7941,MD,170,2010
129383,New Lenox,Ball State,5,9,"New Lenox, IL, united states of america",Scott Secor,K,1992,2,Lincoln-Way Central,0.7941,IL,155,2010
129384,Chatfield,Arkansas,5,9,"Chatfield, TX, united states of america",Eduardo Camara,K,1993,2,Cedar Hill,0.7933,TX,164,2010
129385,Diboll,North Texas,6,6,"Diboll, TX, united states of america",Antonio Johnson,OT,1994,2,Diboll,0.7933,TX,250,2010
129386,Russellville,Arkansas,6,0,"Russellville, AR, united states of america",Zach Hocker,K,1995,2,Russellville,0.7931,AR,180,2010
129387,Jefferson,Kansas State,5,9,"Jefferson, TX, united states of america",Destin Mosely,WR,1996,2,Jefferson,0.7931,TX,175,2010
129388,Lewiston,Idaho,6,5,"Lewiston, ID, united states of america",Spencer Beale,OG,1997,2,Lewiston Senior,0.7927,ID,300,2010
129389,Prescott Valley,Idaho,6,5,"Prescott Valley, AZ, united states of america",Dallas Sandberg,OT,1998,2,Bradshaw Mountain,0.7927,AZ,295,2010
129390,Pleasant Hill,San Jose State,,,"Pleasant Hill, CA, united states of america",Travis Raciti,WDE,1999,2,College Park,0.7927,CA,-,2010
129391,Daytona Beach,Louisiana-Lafayette,6,2,"Daytona Beach, FL, united states of america",Amari Williams,FB,2000,2,Mainland,0.7927,FL,245,2010
129392,La Habra,Hawaii,6,1,"La Habra, CA, united states of america",Dominick Sierra,ILB,2001,2,La Habra,0.7924,CA,200,2010
129393,Middletown,Clemson,6,6,"Middletown, DE, united states of america",Gifford Timothy,OT,2002,2,Middletown,0.7917,DE,335,2010
129394,Richardson,North Texas,5,10,"Richardson, TX, united states of america",Zachery Olen,K,2003,2,Berkner,0.7915,TX,185,2010
130095,Greensboro,Kent State,6,2,"Greensboro, NC, united states of america",Cedric McCloud,DUAL,2004,2,Caldwell Academy,0.7903,NC,218,2010
130096,Sylmar,Nevada,6,4,"Sylmar, CA, united states of america",DeAndre Roberts,TE,2005,2,Sylmar,0.7896,CA,285,2010
130097,Mesquite,UTEP,6,3,"Mesquite, TX, united states of america",Davian Harper,WR,2006,2,Mesquite,0.7896,TX,205,2010
130098,Sparks,Nevada,6,6,"Sparks, NV, united states of america",Kyle Roberts,OT,2007,2,Edward C Reed,0.7896,NV,265,2010
130099,Charlotte,Buffalo,6,4,"Charlotte, NC, united states of america",Dante Burton,TE,2008,2,North Carolina Tech,0.7894,NC,225,2010
130100,Inkster,Central Michigan,6,2,"Inkster, MI, united states of america",Johnathon Taylor,WR,2009,2,Inkster,0.7889,MI,180,2010
130101,Hialeah,Cincinnati,6,3,"Hialeah, FL, united states of america",Rony Lozano,DT,2010,2,American,0.7889,FL,265,2010
130102,Paris,Memphis,6,0,"Paris, TN, united states of america",Shonte Sims,ATH,2011,2,Henry County,0.7889,TN,175,2010
130103,Birmingham,UAB,5,11,"Birmingham, AL, united states of america",J.J. Nelson,WR,2012,2,Midfield Sch,0.7889,AL,160,2010
130104,Atlanta,N.C. State,6,1,"Atlanta, GA, united states of america",Art Norman,WDE,2013,2,Chamblee Charter,0.7889,GA,225,2010
130105,Buffalo,Miami,6,3,"Buffalo, NY, united states of america",James Gaines,ILB,2014,2,Canisius,0.7889,NY,205,2010
130106,Orlando,Colorado State,6,3,"Orlando, FL, united states of america",Josh James,WR,2015,2,Colonial,0.7889,FL,211,2010
130107,Fort Lauderdale,Maryland,6,6,"Fort Lauderdale, FL, united states of america",Jacob Wheeler,OT,2016,2,American Heritage,0.7889,FL,260,2010
130108,Prattville,NoCollege,6,0,"Prattville, AL, united states of america",Qushaun Lee,ILB,2017,2,Prattville,0.7889,AL,215,2010
130109,Frostproof,Iowa State,6,2,"Frostproof, FL, united states of america",C.J. Morgan,OLB,2018,2,Frostproof,0.7889,FL,195,2010
130110,Fort Lauderdale,Maryland,6,9,"Fort Lauderdale, FL, united states of america",Jake Wheeler,OT,2019,2,American Heritage,0.7889,FL,250,2010
130111,Staten Island,Connecticut,5,8,"Staten Island, NY, united states of america",Lyle McCombs,RB,2020,2,St Joseph Hill Academy,0.7889,NY,175,2010
130112,Encinitas,Wyoming,6,6,"Encinitas, CA, united states of america",Justin DiRe,OT,2021,2,La Costa Canyon,0.7889,CA,270,2010
130113,Longwood,Tulane,6,3,"Longwood, FL, united states of america",Andre Robinson,ILB,2022,2,Lyman,0.7889,FL,220,2010
